Day,Bible,Book,Title
Jan-01,Psalms 1-2,PP,Preface
Jan-02,Psalms 4-6,PP,01. Why was Sin Permitted?
Jan-03,Psalms 7-8; Genesis 1,PP,02. The Creation
Jan-04,Psalms 9-10; Genesis 2,PP,03. The Literal Week
Jan-05,Psalms 11-12; Genesis 3,PP,04. Temptation and Fall
Jan-06,Psalms 13 and 16,PP,05. The Plan of Redemption
Jan-07,Psalms 17; Genesis 4,PP,06. Cain and Abel
Jan-08,Psalms 19-20; Genesis 5,PP,07. Seth and Enoch
Jan-09,Psalms 21; Genesis 6-7,PP,08. The Flood
Jan-10,Genesis 8-10,PP,09. After the Flood
Jan-11,Psalms 24; Genesis 11,PP,10. The Tower of Babel
Jan-12,Genesis 12-15,PP,11. The Call of Abraham
Jan-13,Genesis 16-18,PP,12. Abraham in Canaan
Jan-14,Genesis 20-22,PP,13. The Test of Faith
Jan-15,Genesis 19,PP,14. Destruction of Sodom
Jan-16,Genesis 23-24,PP,15. The Marriage of Isaac
Jan-17,Genesis 25-27,PP,16. Jacob and Esau
Jan-18,Genesis 28-31,PP,17. Jacob's Flight and Exile
Jan-19,Genesis 32-34,PP,18. The Night of Wrestling
Jan-20,Genesis 35-38,PP,19. The Return to Canaan
Jan-21,Genesis 39-46,PP,20. Joseph in Egypt
Jan-22,Genesis 47-50,PP,21. Joseph and His Brothers
Jan-23,Exodus 1-4,PP,22. Moses
Jan-24,Exodus 5-8,PP,23. The Plagues of Egypt
Jan-25,Exodus 9-12,PP,24. The Passover
Jan-26,Exodus 13-15,PP,25. The Exodus
Jan-27,Exodus 16-18,PP,26. From the Red Sea to Sinai
Jan-28,Exodus 19-22,PP,27. The Law Given to Israel
Jan-29,Exodus 23-28,,
Jan-30,Exodus 29-32,PP,28. Idolatry at Sinai
Jan-31,Exodus 33-37,PP,29. Satan's Enmity Against the Law
Feb-01,Exodus 38-40,PP,30. The Tabernacle and Its Services
Feb-02,Leviticus 1-7,,
Feb-03,Leviticus 8-11,PP,31. The Sin of Nadab and Abihu
Feb-04,Leviticus 12-15,PP,32. The Law and the Covenants
Feb-05,Numbers 1-4,PP,33. From Sinai to Kadesh
Feb-06,Numbers 5-10,,
Feb-07,Numbers 11-13,PP,34. The Twelve Spies
Feb-08,Numbers 14-17,PP,35. The Rebellion of Korah
Feb-09,Numbers 18-19,PP,36. In the Wilderness
Feb-10,Numbers 29-30; Numbers 20,PP,37. The Smitten Rock
Feb-11,Numbers 31-33; Numbers 21:1-30,PP,38. The Journey Around Edom
Feb-12,Numbers 34-36; Numbers 21:31-35,PP,39. The Conquest of Bashan
Feb-13,Numbers 22-24,PP,40. Balaam
Feb-14,Numbers 25-28,PP,41. Apostasy at the Jordan
Feb-15,Deut. 1-5,PP,42. The Law Repeated
Feb-16,Deut. 6-13,,
Feb-17,Deut. 14-17,,
Feb-18,Deut. 18-29,,
Feb-19,Deut. 30-34,PP,43. The Death of Moses
Feb-20,Joshua 1-4,PP,44. Crossing the Jordan
Feb-21,Joshua 5-7,PP,45. The Fall of Jericho
Feb-22,Joshua 8-11,PP,46. The Blessings and the Curses
Feb-23,Joshua 12-17,PP,47. League With the Gibeonites
Feb-24,Joshua 18-21,PP,48. The Division of Canaan
Feb-25,Joshua 22-24,PP,49. The Last Words of Joshua
